canonical_smiles,pIC50
CC1=C(NCCCC/N=C2/C(=O)c3ccccc3C(O)=C2C)C(=O)c2ccccc2C1=O,4.2441251443275085
CC1=C(NCCCCN)C(=O)c2c(O)cccc2C1=O,4.2441251443275085
CC1=C(NCCCCN)C(=O)c2ccccc2C1=O,4.2441251443275085
CC1=C(NCCCN2CCN(CCCN)CC2)C(=O)c2c(O)cccc2C1=O,4.4089353929735005
CC1=C(NCCCN2CCN(CCCN)CC2)C(=O)c2ccccc2C1=O,5.221848749616356
CC1=C(NCCCN2CCN(CCCNC3=C(C)C(=O)c4ccccc4C3=O)CC2)C(=O)c2ccccc2C1=O,5.0
CC1=C(NCCCNCCC/N=C2/C(=O)c3ccccc3C(O)=C2C)C(=O)c2ccccc2C1=O,5.045757490560675
CC1=C(NCCCNCCCCNCCCN)C(=O)c2c(O)cccc2C1=O,4.552841968657781
CC1=C(NCCCNCCCCNCCCN)C(=O)c2ccccc2C1=O,4.552841968657781
CC1=C(NCCCNCCCCNCCCNC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,5.187086643357144
CC1=C(NCCCNCCCN)C(=O)c2c(O)cccc2C1=O,4.2441251443275085
CC1=C(NCCCNCCCN)C(=O)c2ccccc2C1=O,4.920818753952375
